period_end,revenue,gross_profit,operating_income,net_income,total_equity,total_debt,gross_margin_pct,operating_margin_pct,net_margin_pct,roe_pct,debt_to_equity,revenue_yoy,net_income_yoy
2020-12-31,,,,,,,,,,,,,
2021-12-31,52444000000.0,22185000000.0,9626000000.0,6049000000.0,,29672000000.0,0.4230226527343452,0.18354816566242088,0.11534207917016245,,,,
2022-12-31,60073000000.0,24167000000.0,9727000000.0,7642000000.0,,28439000000.0,0.40229387578446224,0.16191966440830324,0.12721189219782597,,,0.14546945313095883,0.26334931393618777
2023-12-31,59604000000.0,25175000000.0,10041000000.0,6487000000.0,,28593000000.0,0.4223709818133011,0.1684618481981075,0.10883497751828736,,,-0.00780716794566616,-0.1511384454331327
2024-12-31,60761000000.0,27370000000.0,11250000000.0,5744000000.0,,30655000000.0,0.4504534158423989,0.1851516597817679,0.09453432300324222,,,0.01941144889604729,-0.114536765839371
