period_end,revenue,gross_profit,operating_income,net_income,total_equity,total_debt,gross_margin_pct,operating_margin_pct,net_margin_pct,roe_pct,debt_to_equity,revenue_yoy,net_income_yoy
2021-02-28,,,,,,,,,,,,,
2022-02-28,61344000000.0,4633000000.0,2573000000.0,1481000000.0,15632000000.0,15357000000.0,0.07552490871152844,0.041943792383933226,0.024142540427751696,,0.9824078812691914,,
2023-02-28,65322000000.0,3361000000.0,1404000000.0,737000000.0,12225000000.0,15078000000.0,0.05145280303726157,0.02149352438688344,0.011282569425308472,0.05291309186200955,1.2333742331288344,0.06484741784037551,-0.5023632680621202
2024-02-29,68187000000.0,4849000000.0,2751000000.0,1188000000.0,11665000000.0,14841000000.0,0.0711132620587502,0.04034493378503234,0.017422675876633376,0.09945583926329007,1.2722674667809688,0.04385964912280693,0.6119402985074627
2025-02-28,69916000000.0,5051000000.0,2733000000.0,1626000000.0,11662000000.0,14666000000.0,0.0722438354596945,0.03908976486068997,0.023256479203615767,0.13940926822994812,1.2575887497856286,0.025356739554460495,0.36868686868686873
